session_id,timestamp,hp,max_hp,pos_x,pos_y,vel_x,vel_y,grounded,facing,enemy0_present,enemy0_rel_x,enemy0_rel_y,enemy0_distance,enemy0_attacking,enemy1_present,enemy1_rel_x,enemy1_rel_y,enemy1_distance,enemy1_attacking,action_left,action_right,action_up,action_down,action_jump,action_dash,action_attack,action_skill,action_heal
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,3.854,5,5,62.165,7.568,23.5,0,1,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,3.854,5,5,62.165,7.568,23.5,0,1,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,3.902,5,5,63.34,7.568,23.5,0,1,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,3.951,5,5,64.917,7.567,23.5,0,1,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,4.046,5,5,67.267,7.568,23.5,0,1,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,4.107,5,5,68.442,7.568,23.5,0,1,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,4.107,5,5,68.442,7.568,23.5,0,1,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,4.155,5,5,69.225,7.568,23.5,0,1,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,4.206,5,5,70.792,7.568,23.5,0,1,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,4.251,5,5,71.967,7.568,23.5,0,1,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,4.364,5,5,74.317,7.568,23.5,0,1,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,4.364,5,5,74.317,7.568,23.5,0,1,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,4.412,5,5,75.1,7.568,23.5,0,1,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,4.457,5,5,77.058,7.568,23.5,0,1,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,4.504,5,5,77.841,7.568,23.5,0,1,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,4.554,5,5,79.016,7.568,23.5,0,1,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,4.615,5,5,80.191,7.568,23.5,0,1,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,4.664,5,5,81.366,7.568,23.5,0,1,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,4.71,5,5,82.933,7.568,23.5,0,1,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,4.757,5,5,83.716,7.568,23.5,0,1,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,4.805,5,5,84.891,7.527,23.5,0,1,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,4.922,5,5,85.195,7.342,16.979,-2.4,0,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,4.922,5,5,85.195,7.342,16.979,-2.4,0,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,4.968,5,5,85.195,6.519,0,-4.8,0,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
